## Physlog file version = 2
## AMC Amsterdam (SRN = 71279), Release unify (SWID 22.22)
## Tue 03-10-2017 18:03:34
## 0 0 0 0 0 16 14 11 0 23 23 -10 11 0 11 9 8 -9 0 20 [cal=3, reqid=5]
## Dockable table = FALSE
# v1raw v2raw  v1 v2  ppu resp  gx gy gz mark mark2
6 0  5 2  1 2537  0 0 0 0000 0201
6 0  3 1  1 2537  0 0 0 0000 0200
6 0  3 0  1 2494  0 0 0 0000 0200
9 0  2 0  1 2494  0 0 0 0000 0200
9 3  3 0  1 2494  0 0 0 0000 0200
7 0  3 0  1 2494  0 0 0 0000 0200
6 -1  2 0  1 2494  0 0 0 0000 0200
3 -4  2 0  1 2451  0 0 0 0000 0200
-1 -7  0 -2  1 2451  0 0 0 0000 0200
-4 -10  -1 -3  1 2451  0 0 0 0000 0200
-3 -10  -2 -5  1 2451  0 0 0 0000 0200
-3 -9  -4 -6  1 2451  0 0 0 0000 0200
0 -9  -4 -7  1 2365  0 0 0 0000 0200
0 -9  -4 -7  1 2365  0 0 0 0000 0200
-3 -10  -4 -8  1 2365  0 0 0 0000 0200
-3 -12  -5 -8  1 2365  0 0 0 0000 0200
-1 -12  -5 -9  1 2365  0 0 0 0000 0200
0 -9  -5 -10  1 2322  0 0 0 0000 0200
0 -9  -4 -10  1 2322  0 0 0 0000 0200
-3 -9  -5 -9  1 2322  0 0 0 0000 0200
-4 -12  -5 -10  1 2322  0 0 0 0000 0200
-6 -13  -5 -10  1 2322  0 0 0 0000 0200
-7 -16  -6 -11  1 2365  0 0 0 0000 0200
-9 -19  -7 -12  1 2365  0 0 0 0000 0200
-12 -21  -9 -14  1 2365  0 0 0 0000 0200
-15 -21  -11 -15  1 2365  0 0 0 0000 0200
-16 -24  -13 -17  1 2365  0 0 0 0000 0200
-18 -22  -14 -18  1 2408  0 0 0 0000 0200
-15 -21  -16 -19  1 2408  0 0 0 0000 0200
-13 -16  -16 -19  1 2408  0 0 0 0000 0200
-9 -13  -15 -17  1 2408  0 0 0 0000 0200
-4 -9  -13 -15  1 2408  0 0 0 0000 0200
-1 -4  -11 -12  1 2279  0 0 0 0000 0200
-1 -1  -8 -8  1 2279  0 0 0 0000 0200
-3 -1  -6 -5  1 2279  0 0 0 0000 0200
-6 -3  -5 -3  1 2279  0 0 0 0000 0200
-6 -3  -5 -1  1 2279  0 0 0 0000 0200
-3 0  -5 0  1 2236  0 0 0 0000 0200
-1 1  -4 0  1 2236  0 0 0 0000 0200
0 3  -3 1  1 2236  0 0 0 0000 0200
3 3  -2 2  1 2236  0 0 0 0000 0200
6 3  -1 3  1 2236  0 0 0 0000 0200
4 3  0 4  1 2236  0 0 0 0000 0200
3 0  1 4  1 2236  0 0 0 0000 0200
0 -3  1 3  1 2236  0 0 0 0000 0200
0 -1  0 3  1 2236  0 0 0 0000 0200
1 0  0 2  1 2236  0 0 0 0000 0200
3 3  0 3  1 2236  0 0 0 0000 0200
1 0  0 3  1 2236  0 0 0 0000 0200
0 -3  0 2  1 2236  0 0 0 0000 0200
1 -3  0 1  1 2236  0 0 0 0000 0200
4 -1  0 1  1 2236  0 0 0 0000 0200
9 3  1 1  1 2150  0 0 0 0000 0200
12 6  3 2  1 2150  0 0 0 0000 0200
15 10  5 4  1 2150  0 0 0 0000 0200
15 10  7 5  1 2150  0 0 0 0000 0200
15 9  9 7  1 2150  0 0 0 0000 0200
13 9  10 8  1 2107  0 0 0 0000 0200
12 9  10 9  1 2107  0 0 0 0000 0200
9 9  10 9  1 2107  0 0 0 0080 0200
9 12  9 10  1 2107  0 0 0 0000 0200
12 13  9 11  1 2107  0 0 0 0000 0200
16 16  9 12  1 2064  0 0 0 0000 0200
22 21  11 14  1 2064  0 0 0 0000 0200
28 24  13 16  1 2064  0 0 0 0000 0200
31 28  17 18  1 2064  0 0 0 0000 0200
30 30  20 21  1 2064  0 0 0 0000 0200
30 30  22 24  1 2021  0 0 0 0000 0200
25 27  23 26  1 2021  0 0 0 0000 0200
22 22  22 26  1 2021  0 0 0 0000 0200
16 16  21 25  1 2021  0 0 0 0000 0200
12 10  18 22  1 2021  0 0 0 0000 0200
7 6  14 18  1 1935  0 0 0 0000 0200
6 1  11 13  1 1935  0 0 0 0000 0200
3 -1  7 9  1 1935  0 0 0 0000 0200
3 -4  4 5  1 1935  0 0 0 0000 0200
3 -6  2 1  1 1935  0 0 0 0000 0200
3 -6  0 -1  1 1935  0 0 0 0000 0200
1 -4  0 -3  1 1935  0 0 0 0000 0200
0 -6  -1 -4  1 1935  0 0 0 0000 0200
0 -6  -2 -4  1 1935  0 0 0 0000 0200
0 -3  -3 -5  1 1935  0 0 0 0000 0200
0 -3  -3 -5  1 1978  0 0 0 0000 0200
0 -3  -3 -4  1 1978  0 0 0 0000 0200
-1 -6  -4 -4  1 1978  0 0 0 0000 0200
-4 -10  -4 -5  1 1978  0 0 0 0000 0200
-7 -13  -6 -7  1 1978  0 0 0 0000 0200
-12 -15  -8 -8  1 1892  0 0 0 0000 0200
-10 -13  -9 -10  1 1892  0 0 0 0000 0200
-7 -10  -10 -11  1 1892  0 0 0 0000 0200
-1 -4  -10 -10  1 1892  0 0 0 0000 0200
3 -1  -9 -8  1 1892  0 0 0 0000 0200
6 0  -6 -6  1 1849  0 0 0 0000 0200
